"Claim No","State","CLASS","Gender","Age","Claim Amount"
"H05063","STATE 06","C71",,54,9411.8
"H05064","STATE 04","C7 ","F",54,9028.56
"H05065","STATE 03","C1 ","F",54,8378.83
"H05066","STATE 15","C1 ","M",54,8283.19
"H05067","STATE 15","C1 ","F",54,
"H05068","STATE 15","C7 ","M",54,7589.25
"H05069","STATE 04","C7 ","M",54,7419.73
"H05070","STATE 15","C11","F",54,7381.89
"H05071","STATE 02","C72","M",54,7380.58
"H05072","STATE 06","C7A","F",54,
"H05073","STATE 06","C1C","F",54,7275
"H05074","STATE 17","C7B","F",54,6867.53
"H05075","STATE 15","C1B","M",54,6761.27
"H05076","STATE 15","C7B","M",54,6675.67
"H05077","STATE 06","C7A","F",54,6448.75
"H05078","STATE 04","C7B","M",54,6236.03
"H05079","STATE 10","C71","F",54,
"H05080","STATE 06","C7B","M",54,5971.37
"H05081","STATE 17","C7B","M",,5604.53
"H05082","STATE 12","C1C","F",54,5364.71
"H05083","STATE 03","C7 ","M",54,5347.31
"H05084","STATE 12","C1 ","F",54,5263.84
"H05085","STATE 04","C71","F",54,5169.91
"H05086","STATE 10","C1B","M",54,4528.69
"H05087","STATE 15","C7B",,54,4521.52
"H05088","STATE 13","C71","M",54,
"H05089","STATE 06","C1B","F",54,4302.05
"H05090","STATE 17","C71","F",54,4188.6
"H05091","STATE 02","F1 ","F",,4155
"H05092","STATE 07","C71","F",54,4149.92
"H05093","STATE 02","C71","M",54,4088
"H05094","STATE 06","C7 ","F",54,4080.73
"H05095","STATE 15","C7C","F",54,3918.79
"H05096","STATE 04","C7B","M",54,3894.92
"H05097","STATE 06","C11","M",54,3884.72
"H05098","STATE 15","C7A","M",54,3807.25
"H05099","STATE 15","C7C","M",54,3806.43
"H05100","STATE 02","C1 ",,54,3781.2
"H05101","STATE 02","C11","M",54,3740.25
"H05102","STATE 04","C71","M",54,3716.08
"H05103","STATE 02","C71","M",54,3513.56
"H05104","STATE 06","C72","M",54,3473.16
"H05105","STATE 07","C7B","F",54,3435.92
"H05106","STATE 13","C1 ","F",54,3410.38
"H05107","STATE 06","C1 ","M",54,3325
"H05108","STATE 15","C1B","F",54,3261.98
"H05109","STATE 15","C1 ","F",54,3174.5
"H05110","STATE 12","C1B","M",54,3159.02
"H05111","STATE 15","C1B","M",54,3151.33
"H05112","STATE 15","C11",,54,3078.75
"H05113","STATE 10","C7B","M",54,3069.44
"H05114","STATE 17","C7B","M",54,2988.99
"H05115","STATE 15","C1B","M",54,2972.34
"H05116","STATE 15","C71","M",54,2900
"H05117","STATE 02","C7B","M",54,2895.88
"H05118","STATE 06","C7B","M",54,2860.33
"H05119","STATE 06","C7B","F",54,2822.8
"H05120","STATE 02","C7 ","M",54,2807.69
"H05121","STATE 17","C7 ","M",54,2803.84
"H05122","STATE 12","C7B","M",54,2784.48
"H05123","STATE 02","C1B","M",54,2777.68
"H05124","STATE 02","C11","M",,2750.76
"H05125","STATE 14","C11","F",,2739.23
"H05126","STATE 04","C7 ","F",54,2677.34
"H05127","STATE 13","C1B",,54,2624.89
"H05128","STATE 10","C71","F",54,2621.45
"H05129","STATE 12","C11","F",54,2610.87
"H05130","STATE 15","C11","F",54,2503.62
"H05131","STATE 02","C1B","M",54,2464.83
"H05132","STATE 17","C7B","M",54,2398.34
"H05133","STATE 02","C7 ","M",,2326.16
"H05134","STATE 15","C7 ","M",54,2300.47
"H05135","STATE 15","C7 ","F",54,2265.75
"H05136","STATE 17","C71","F",54,2255.61
"H05137","STATE 15","C11","F",,2211.92
"H05138","STATE 02","C1 ","M",54,2176.78
"H05139","STATE 01","C11","M",54,2106.17
"H05140","STATE 15","C1A","F",54,2075.62
"H05141","STATE 17","C7 ","M",54,2043.98
"H05142","STATE 15","C1B","F",54,2005.64
"H05143","STATE 04","C7C","M",54,1993.9
"H05144","STATE 06","C71","F",54,1920.9
"H05145","STATE 02","C7C","M",54,1906.05
"H05146","STATE 02","C71","F",54,1904.13
"H05147","STATE 12","C1B","M",54,1854.96
"H05148","STATE 01","F71","F",54,1805.62
"H05149","STATE 17","F71","M",54,1789.08
"H05150","STATE 03","C7 ","F",54,1757
"H05151","STATE 02","C1 ","M",54,1751.3
"H05152","STATE 15","C71","F",54,1750
"H05153","STATE 07","C71","F",54,1735
"H05154","STATE 06","C1C","M",54,1730.95
"H05155","STATE 15","C7 ","M",54,1662.83
"H05156","STATE 03","C71","M",54,1650
"H05157","STATE 12","C1 ","F",54,1625.78
"H05158","STATE 02","C1B","M",54,1617.41
"H05159","STATE 13","C1 ","M",54,1584.11
"H05160","STATE 15","C7B","M",54,1580.14
"H05161","STATE 17","C71",,54,1577.67
"H05162","STATE 15","C2 ","M",54,1543.47
"H05163","STATE 02","C7 ","M",54,1533.74
"H05164","STATE 12","C71","M",54,1533.42
"H05165","STATE 10","C71",,54,1498.19
"H05166","STATE 17","C71","M",54,1477.9
"H05167","STATE 04","C7B","F",54,1475.99
"H05168","STATE 06","C7 ","M",54,1431.47
"H05169","STATE 02","C1B","F",54,1414.86
"H05170","STATE 04","C71","M",54,1403.93
"H05171","STATE 15","C1C","F",54,1400
"H05172","STATE 04","C7 ","M",54,1386.93
"H05173","STATE 04","C7C","M",54,1377.44
"H05174","STATE 10","C1 ","M",54,1376.94
"H05175","STATE 02","C11","M",54,1371.51
"H05176","STATE 12","C11","F",54,1355.95
"H05177","STATE 02","C11","F",54,1350
"H05178","STATE 15","C1B","F",54,1347.45
"H05179","STATE 02","C7B","M",54,1336
"H05180","STATE 02","C1B","M",54,1326.22
"H05181","STATE 10","C1 ","F",54,1316.5
"H05182","STATE 04","C7B","M",54,1315.58
"H05183","STATE 06","C7B","M",54,1314.5
"H05184","STATE 17","C71","F",54,1297.5
"H05185","STATE 02","C71","M",54,1296.47
"H05186","STATE 04","C7A","F",54,1282.26
"H05187","STATE 15","C7B","M",54,1250.76
"H05188","STATE 02","C7 ","F",54,1242.77
"H05189","STATE 15","C7 ","M",54,1233.97
"H05190","STATE 02","C1B","M",54,1214.09
"H05191","STATE 13","C7B","M",54,1209.99
"H05192","STATE 15","C11","F",54,1182.44
"H05193","STATE 06","C71","M",54,1175.21
"H05194","STATE 15","C11","F",54,1165.61
"H05195","STATE 06","C1B","F",54,1156.66
"H05196","STATE 15","C11","F",54,1141.08
"H05197","STATE 10","C1B","M",54,1122.95
"H05198","STATE 15","C71","F",54,1120.62
"H05199","STATE 02","C11","F",54,1112.82
"H05200","STATE 03","C11","F",54,1109.18
"H05201","STATE 01","C11","M",54,1107.57
"H05202","STATE 15","C7B","M",54,1103.19
"H05203","STATE 06","C71","F",54,1100.94
"H05204","STATE 15","C7B","M",54,1100.68
"H05205","STATE 04","C7B","M",54,1098.9
"H05206","STATE 15","C72","M",54,1096.33
"H05207","STATE 06","C1 ","M",54,1091.96
"H05208","STATE 15","C11","M",54,1087.29
"H05209","STATE 17","F71","F",54,1085.72
"H05210","STATE 07","C71","F",54,1064.4
"H05211","STATE 12","C1 ","F",54,1046.66
"H05212","STATE 12","C1B","M",54,1028.02
"H05213","STATE 15","C7B","F",54,1015.37
"H05214","STATE 10","C71","F",54,1006.99
"H05215","STATE 03","C7B","M",54,991.74
"H05216","STATE 15","C7A","F",54,987.43
"H05217","STATE 15","C11","M",54,985.97
"H05218","STATE 15","C7 ","F",54,982.45
"H05219","STATE 06","C1B","M",54,976.89
"H05220","STATE 15","C1B","F",54,968.9
"H05221","STATE 02","C7B","M",,966.22
"H05222","STATE 06","C7B","F",54,961.35
"H05223","STATE 17","C71","M",54,952.72
"H05224","STATE 15","C11","F",,949.82
"H05225","STATE 15","C7 ","M",54,922.51
"H05226","STATE 02","C1 ","F",54,919.34
"H05227","STATE 17","C71","M",54,908
"H05228","STATE 15","C71","M",54,908
"H05229","STATE 15","C71","M",54,902.67
"H05230","STATE 17","C71","F",54,884.77
"H05231","STATE 15","C72","F",54,878.58
"H05232","STATE 04","C7 ","M",54,874.92
"H05233","STATE 02","C71","F",54,852.08
"H05234","STATE 02","C1B","F",,837.84
"H05235","STATE 06","C7 ","M",54,831.53
"H05236","STATE 17","C71","M",54,829.94
"H05237","STATE 02","C11","F",54,810.88
"H05238","STATE 10","C7B","F",54,807.85
"H05239","STATE 12","C2 ","F",54,806.73
"H05240","STATE 04","C71","M",54,800.69
"H05241","STATE 15","C72","M",54,785.41
"H05242","STATE 12","C1B","M",54,784.92
"H05243","STATE 17","C7B","F",54,782.76
"H05244","STATE 10","C11","M",54,780.15
"H05245","STATE 02","C71","F",54,780
"H05246","STATE 15","C71","F",54,768.91
"H05247","STATE 17","C7 ","F",54,766.17
"H05248","STATE 04","C7 ","M",54,759.63
"H05249","STATE 02","C1B","F",54,754.76
"H05250","STATE 17","C71",,54,748.78
"H05251","STATE 07","C7 ","M",54,746.07
"H05252","STATE 15","C1A","M",54,735.16
"H05253","STATE 10","C7B","M",54,729.24
"H05254","STATE 02","C11",,54,727.54
"H05255","STATE 15","C1 ","F",54,720.9
"H05256","STATE 02","C71","M",54,718.1
"H05257","STATE 15","C7B","F",54,716.76
"H05258","STATE 02","C7 ","F",,709.61
"H05259","STATE 06","C1A","M",54,704.81
"H05260","STATE 12","C71","M",54,691.23
"H05261","STATE 15","C1 ","F",54,686.81
"H05262","STATE 02","C7 ","M",54,684.61
"H05263","STATE 10","C7B","M",54,679.12
"H05264","STATE 12","C1 ","M",,675.65
"H05265","STATE 15","C71","M",54,674.94
"H05266","STATE 15","C7 ","F",54,661.37
"H05267","STATE 15","C2 ","M",54,659.77
"H05268","STATE 02","C2 ","M",54,651.3
"H05269","STATE 15","C2 ","F",54,643.3
"H05270","STATE 17","C71","F",54,634.73
"H05271","STATE 07","C71",,54,630.15
"H05272","STATE 03","C7 ","F",54,626.98
"H05273","STATE 15","C7B","F",54,625.93
"H05274","STATE 03","C11","F",54,623.17
"H05275","STATE 04","C7 ","M",,622.49
"H05276","STATE 15","C1B","M",54,599.8
"H05277","STATE 02","C1 ","F",54,596.15
"H05278","STATE 15","C7 ","M",54,594.12
"H05279","STATE 02","C71","F",54,586.43
"H05280","STATE 06","C7B","M",54,581.44
"H05281","STATE 17","C7 ","M",54,580.33
"H05282","STATE 10","C7C","M",54,578.78
"H05283","STATE 15","C1A","M",54,573.27
"H05284","STATE 13","C71","M",54,570.75
"H05285","STATE 02","C1B","M",54,560.62
"H05286","STATE 15","C71","F",54,549.26
"H05287","STATE 15","C1 ","M",54,545.69
"H05288","STATE 06","C1B","M",54,541.8
"H05289","STATE 13","C7B","M",54,537.28
"H05290","STATE 15","C7 ","F",54,534.92
"H05291","STATE 15","C7 ","M",54,532.12
"H05292","STATE 15","C7A","M",54,530.33
"H05293","STATE 13","C1 ","F",54,528.89
"H05294","STATE 02","C71","M",54,523.89
"H05295","STATE 02","C1B","F",54,523.32
"H05296","STATE 01","C7 ","M",54,516.68
"H05297","STATE 14","C71","M",54,514.68
"H05298","STATE 06","C72","M",54,489.76
"H05299","STATE 15","C7B",,54,489.51
"H05300","STATE 07","C7B","M",54,485.38
"H05301","STATE 02","C7A",,54,483.1
"H05302","STATE 15","C11","F",54,473.25
"H05303","STATE 15","C11","F",54,469.36
"H05304","STATE 15","C7 ","M",54,451.75
"H05305","STATE 13","C1B","F",54,445.85
"H05306","STATE 17","C71","M",54,443.19
"H05307","STATE 02","C71","M",54,441.4
"H05308","STATE 15","C7B","M",54,440.51
"H05309","STATE 03","C11","M",54,439.95
"H05310","STATE 04","C7A","M",54,437.77
"H05311","STATE 02","C71","F",54,437.34
"H05312","STATE 02","F7 ","F",54,435.51
"H05313","STATE 07","C71",,54,422.54
"H05314","STATE 03","C7B",,54,417.39
"H05315","STATE 15","C71","M",54,414.23
"H05316","STATE 01","C7 ","M",54,412.16
"H05317","STATE 04","C7 ","F",54,410.4
"H05318","STATE 02","C1B","M",54,409.91
"H05319","STATE 15","C1C","M",54,403.78
"H05320","STATE 17","C71","F",54,383.63
"H05321","STATE 04","C71","M",54,378.52
"H05322","STATE 15","C71","M",54,360.36
"H05323","STATE 07","C7 ","F",54,357.72
"H05324","STATE 04","C7B","M",54,342.04
"H05325","STATE 12","C7 ","M",54,331.45
"H05326","STATE 02","C1B","M",54,324.9
"H05327","STATE 03","C71","F",54,324.43
"H05328","STATE 17","C7 ","M",54,306.7
"H05329","STATE 06","C7A","F",54,305.48
"H05330","STATE 12","C1 ","M",54,298.22
"H05331","STATE 15","C7B",,54,286
"H05332","STATE 02","C7 ","F",54,272.89
"H05333","STATE 15","C11","F",54,265.23
"H05334","STATE 15","C7 ","F",54,263.34
"H05335","STATE 02","C71","F",54,262.18
"H05336","STATE 04","C7B","M",54,243
"H05337","STATE 04","C7 ","F",54,235.84
"H05338","STATE 15","C71","F",54,233.78
"H05339","STATE 15","C7 ","M",54,227.72
"H05340","STATE 15","C1 ","M",54,226.27
"H05341","STATE 12","C1B","F",54,225
"H05342","STATE 03","C71",,54,225
"H05343","STATE 13","C11","F",54,224.27
"H05344","STATE 15","C72","M",54,218.01
"H05345","STATE 02","C11","F",54,200
"H05346","STATE 15","C71","M",54,194.44
"H05347","STATE 06","C11","F",54,172.26
"H05348","STATE 02","C11","M",54,164.74
"H05349","STATE 15","C7B","F",54,142.74
"H05350","STATE 04","C7B","M",54,140.04
"H05351","STATE 15","C7B","F",54,120
"H05352","STATE 15","C7 ","M",54,65.45
"H05353","STATE 02","C1B","M",54,65
"H05354","STATE 04","C71","M",53,11669.62
"H05355","STATE 13","C11","M",53,11599.69
"H05356","STATE 03","C71","F",53,11334.49
"H05357","STATE 02","C1 ","M",,
"H05358","STATE 17","C7B","M",53,10067.47
"H05359","STATE 04","C71","M",53,9319.94
"H05360","STATE 15","C11","M",53,9200.62
"H05361","STATE 15","C7B","M",53,8938.81
"H05362","STATE 01","C71","M",53,8170.69
"H05363","STATE 15","C11","M",53,8107.8
"H05364","STATE 06","C7 ","M",53,
"H05365","STATE 06","C7 ","F",53,7676.44
"H05366","STATE 04","C7B","M",53,7354.57
"H05367","STATE 17","C71","M",53,7328.82
"H05368","STATE 06","C7C","M",53,7273.75
"H05369","STATE 15","C11","M",53,7173.95
"H05370","STATE 12","C1B","M",53,6872.31
"H05371","STATE 02","C7B","M",53,
"H05372","STATE 15","C1 ","M",53,6400.16
"H05373","STATE 13","C7B","M",53,6055.76
"H05374","STATE 15","C7 ","M",53,
"H05375","STATE 04","C7B","M",53,5572.45
"H05376","STATE 12","C71","M",53,5491.15
"H05377","STATE 15","C1 ","M",53,
"H05378","STATE 02","C7A","F",53,
"H05379","STATE 06","C1B","F",53,4669.41
"H05380","STATE 02","C7B",,53,4617.24
"H05381","STATE 17","C71","F",53,4334.51
"H05382","STATE 12","C7B","F",53,4165.44
"H05383","STATE 04","C7 ","F",53,4150.59
"H05384","STATE 06","C11","M",53,4149.24
"H05385","STATE 06","C7B","M",53,4144.16
"H05386","STATE 02","C71","F",53,4060.6
"H05387","STATE 17","C7B","M",53,4018.01
"H05388","STATE 06","C71","F",53,4010
"H05389","STATE 15","C1C","M",53,3845.11
"H05390","STATE 06","C7 ","M",53,3700.96
"H05391","STATE 02","C1B","F",53,3648
"H05392","STATE 10","C7B","F",53,3605.2
"H05393","STATE 02","C7B","M",53,3569.77
"H05394","STATE 17","C71","F",53,3326.03
"H05395","STATE 17","F7 ","M",53,3295.23
"H05396","STATE 06","C11","M",53,3205.33
"H05397","STATE 15","C1B","F",53,3190.13
"H05398","STATE 04","F71","F",53,3174.71
"H05399","STATE 15","C1B","M",53,3173.7
"H05400","STATE 10","C1B","M",53,3161.97
"H05401","STATE 07","C71","M",53,2992.53
"H05402","STATE 15","C2 ","F",53,2957.68
"H05403","STATE 02","C1B","M",53,2916
"H05404","STATE 17","C71","M",53,2883.9
"H05405","STATE 02","C71","F",53,2878.33
"H05406","STATE 04","C7 ","M",53,2770.7
"H05407","STATE 10","C71","M",53,2748.47
"H05408","STATE 13","C11","F",53,2734.19
"H05409","STATE 03","C71","M",53,2653.78
"H05410","STATE 04","C7 ","M",53,2628.09
"H05411","STATE 02","C1 ","M",53,2618.35
"H05412","STATE 02","C11","M",53,2565.47
"H05413","STATE 15","C7B","F",53,2500
"H05414","STATE 07","C71","F",53,2399.38
"H05415","STATE 15","C11","M",53,2358.47
"H05416","STATE 04","C7 ","F",53,2330.86
"H05417","STATE 15","C7B","F",53,2281.34
"H05418","STATE 17","C7B","M",,2228.07
"H05419","STATE 02","C1B","M",53,2203.89
"H05420","STATE 10","C11","F",,2200.97
"H05421","STATE 15","C7B","M",53,2188.15
"H05422","STATE 13","C1 ","M",53,2187.3
"H05423","STATE 02","C7C","M",53,2144.87
"H05424","STATE 15","C7B","M",53,2141.37
"H05425","STATE 02","C1B","F",53,2105.55
"H05426","STATE 15","C7 ","M",53,2100.56
"H05427","STATE 17","C71","M",53,1922.4
"H05428","STATE 15","C1B","F",53,1916.44
"H05429","STATE 10","C7 ","F",53,1913.63
"H05430","STATE 15","C7A","M",53,1910
"H05431","STATE 06","C7B","F",53,1902.51
"H05432","STATE 03","C7B","F",53,1900
"H05433","STATE 13","C1C","M",53,1809.29
"H05434","STATE 02","C1B","M",53,1784.36
"H05435","STATE 12","C71","F",53,1746.08
"H05436","STATE 06","C11",,,1702.78
"H05437","STATE 15","C11","M",53,1701.53
"H05438","STATE 07","C71","F",53,1700
"H05439","STATE 14","F7 ","M",53,1699.46
"H05440","STATE 10","C1 ","F",,1694.95
"H05441","STATE 15","C71","F",53,1683.05
"H05442","STATE 04","C7 ","M",53,1675.85
"H05443","STATE 02","C1B","F",53,1663.43
"H05444","STATE 06","C1B","F",53,1646
"H05445","STATE 17","C7 ","M",53,1643.2
"H05446","STATE 01","C1 ","M",53,1623.65
"H05447","STATE 15","C7B","M",53,1611.28
"H05448","STATE 04","C7 ","M",53,1607.19
"H05449","STATE 15","C1 ","F",53,1595.62
"H05450","STATE 14","C1 ","M",53,1585.63
"H05451","STATE 01","C11","M",53,1568.21
"H05452","STATE 02","C7B","M",53,1546.18
"H05453","STATE 13","C11","F",53,1533.8
"H05454","STATE 15","C71","F",53,1522.57
"H05455","STATE 15","C7B","M",53,1519.87
"H05456","STATE 04","C7 ","M",,1519.76
"H05457","STATE 15","C1 ","M",53,1514.75
"H05458","STATE 02","C11","F",53,1514.52
"H05459","STATE 15","C7C","M",53,1500
"H05460","STATE 03","F71",,53,1493.44
"H05461","STATE 15","C71","F",53,1486.05
"H05462","STATE 06","C1B","M",53,1464.16
"H05463","STATE 15","C7B","M",53,1442.47
"H05464","STATE 12","C1 ","F",53,1442.32
"H05465","STATE 13","C11","M",53,1406.98
"H05466","STATE 02","C1B","M",53,1400
"H05467","STATE 02","C71",,53,1383.07
"H05468","STATE 06","C1A","M",53,1371.76
"H05469","STATE 01","C11","M",53,1367.13
"H05470","STATE 02","C11","M",53,1353
"H05471","STATE 06","C7C","M",53,1339.86
"H05472","STATE 15","C71","M",53,1338.85
"H05473","STATE 06","C1 ",,53,1338.36
"H05474","STATE 06","C11","M",,1324.74
"H05475","STATE 04","C7B","M",53,1317.3
"H05476","STATE 15","C7 ","M",53,1294.25
"H05477","STATE 06","C1 ","M",53,1257.9
"H05478","STATE 10","C1 ","F",53,1245.25
"H05479","STATE 15","C7B","M",53,1240.74
"H05480","STATE 13","C72","M",53,1231.25
"H05481","STATE 12","C7B","M",53,1222.6
"H05482","STATE 17","C71","M",53,1220.72
"H05483","STATE 04","C71","M",53,1217.24
"H05484","STATE 02","C7B","M",53,1212.65
"H05485","STATE 04","C7B","M",53,1201.33
"H05486","STATE 02","C7 ","M",53,1189.83
"H05487","STATE 02","C7 ","F",53,1179.49
"H05488","STATE 15","C7B","F",53,1151.46
"H05489","STATE 01","C1 ","F",53,1143.37
"H05490","STATE 02","C7 ","F",53,1142.28
"H05491","STATE 07","C71","M",53,1141.11
"H05492","STATE 14","F7 ","M",53,1133.6
"H05493","STATE 17","C7B","F",53,1123.07
"H05494","STATE 15","C7C","M",53,1111.39
"H05495","STATE 17","C7 ","M",53,1101.36
"H05496","STATE 15","C7B","M",53,1100.39
"H05497","STATE 04","C71","F",53,1097.92
"H05498","STATE 02","C7C","M",53,1095.07
"H05499","STATE 17","C71","F",53,1093.36
"H05500","STATE 15","C11","F",53,1084
"H05501","STATE 15","C7B","M",53,1074.51
"H05502","STATE 15","C7B","M",53,1049.61
"H05503","STATE 02","C71","F",53,1039.44
"H05504","STATE 04","C7B","M",53,1038.07
"H05505","STATE 06","C1 ","F",53,1012.67
"H05506","STATE 02","C11","F",53,1011
"H05507","STATE 06","C11",,53,1004.35
"H05508","STATE 06","C1 ","F",53,1000
"H05509","STATE 17","C7B","M",53,994.78
"H05510","STATE 02","C7 ",,53,989.94
"H05511","STATE 03","C1C","M",53,984.28
"H05512","STATE 06","C1B","F",53,972.02
"H05513","STATE 15","C72","M",53,947.26
"H05514","STATE 02","C7B","F",53,936.38
"H05515","STATE 02","C7B","M",53,925
"H05516","STATE 15","C7C","M",53,891.42
"H05517","STATE 03","C11","F",53,883.52
"H05518","STATE 01","C11","M",,881.44
"H05519","STATE 14","C71","M",53,873.68
"H05520","STATE 02","C1 ","M",53,865.47
"H05521","STATE 10","C1B","M",53,860.89
"H05522","STATE 01","C7 ","F",53,857.65
"H05523","STATE 02","C1 ","M",,855.93
"H05524","STATE 06","C1 ","M",53,853.65
"H05525","STATE 02","C11","M",53,851.8
"H05526","STATE 15","C1A","M",53,849.66
"H05527","STATE 03","C71","M",53,843.54
"H05528","STATE 12","C2 ","M",53,838.65
"H05529","STATE 02","C7B","M",53,803.57
"H05530","STATE 17","C7 ","F",53,803.39
"H05531","STATE 15","C11","M",53,803.25
"H05532","STATE 17","C7 ","F",53,803.22
"H05533","STATE 15","C7C","M",53,801.28
"H05534","STATE 15","C1B","M",53,800.89
"H05535","STATE 15","C7B","M",53,781.78
"H05536","STATE 02","C7B","M",53,759.89
"H05537","STATE 07","C71","M",53,752.3
"H05538","STATE 03","C7B","F",53,752.1
"H05539","STATE 02","C7B","M",53,750
"H05540","STATE 15","C71","M",53,750
"H05541","STATE 13","C7 ","M",53,744.87
"H05542","STATE 13","C7B","M",53,741.13
"H05543","STATE 10","C71","F",53,733.78
"H05544","STATE 02","C7 ","M",53,731.99
"H05545","STATE 02","C11","M",53,701.3
"H05546","STATE 15","C1B","M",53,692.58
"H05547","STATE 15","C1B",,53,688.76
"H05548","STATE 13","C1B","M",53,681.24
"H05549","STATE 07","C7 ","F",53,681.04
"H05550","STATE 02","C1C","M",,677.29
"H05551","STATE 07","C71","F",,676.5
"H05552","STATE 01","C7 ","M",53,675
"H05553","STATE 06","C1 ","M",,672.39
"H05554","STATE 02","C71",,53,669.9
"H05555","STATE 12","C7B","M",53,665.44
"H05556","STATE 15","C71","M",53,659.98
"H05557","STATE 12","C11","M",53,659.17
"H05558","STATE 06","C1 ","M",53,659.13
"H05559","STATE 04","C71","F",53,650.38
"H05560","STATE 15","C7B","M",53,640.09
"H05561","STATE 10","C11","M",53,636.71
"H05562","STATE 07","C72","M",53,636.33
"H05563","STATE 17","C7B","M",53,622.27
"H05564","STATE 13","C7 ","M",53,614.92
"H05565","STATE 13","C7B","F",53,608.83
"H05566","STATE 07","C71","F",53,595
"H05567","STATE 15","C7 ","M",53,592.02
"H05568","STATE 13","C11","F",53,591.67
"H05569","STATE 03","C1 ","M",53,587.86
"H05570","STATE 07","C7 ","M",53,587.74
"H05571","STATE 06","C71","M",53,580.05
"H05572","STATE 04","C7 ","M",53,573.03
"H05573","STATE 02","C7B","M",53,572.77
"H05574","STATE 06","C71","M",53,563.86
"H05575","STATE 15","C1 ","M",53,555.58
"H05576","STATE 15","C1B","M",53,547.85
"H05577","STATE 04","C71","F",53,547.09
"H05578","STATE 03","C11","F",53,538.41
"H05579","STATE 03","C71","M",53,525
"H05580","STATE 12","C1B","M",53,520.88
"H05581","STATE 02","C7 ","M",,520.5
"H05582","STATE 02","C7 ","F",53,520.33
"H05583","STATE 03","C7C","M",53,518.87
"H05584","STATE 15","C1 ","M",,513.84
"H05585","STATE 04","C7 ","M",53,511.92
"H05586","STATE 15","C7B","M",53,505.11
"H05587","STATE 15","C11","M",,493.79
"H05588","STATE 04","C7 ","M",53,486.16
"H05589","STATE 17","C7B","F",53,485.77
"H05590","STATE 15","C11","F",53,477.36
"H05591","STATE 06","C7B","M",53,466.36
"H05592","STATE 02","C11","M",53,464.93
"H05593","STATE 15","C11","M",53,458.82
"H05594","STATE 15","C7B","M",53,450.54
"H05595","STATE 14","F7 ","F",53,441.49
"H05596","STATE 03","C71","M",53,439.97
"H05597","STATE 15","C7A","M",53,436.76
"H05598","STATE 17","C7B","M",53,431.98
"H05599","STATE 02","C1 ","F",53,431.5
"H05600","STATE 04","C71","M",53,427.94
"H05601","STATE 02","C2 ","M",53,426.1
"H05602","STATE 03","C7B","M",53,424.28
"H05603","STATE 10","C11","F",53,423.75
"H05604","STATE 03","C1B","M",53,422.95
"H05605","STATE 15","C7C","M",53,416.2
"H05606","STATE 15","C7 ","M",53,412.83
"H05607","STATE 12","C2 ","F",53,410.5
"H05608","STATE 07","C71","M",53,410.14
"H05609","STATE 14","C71","M",53,402.8
"H05610","STATE 15","C7 ","M",53,376.99
"H05611","STATE 02","C11","M",53,350.17
"H05612","STATE 15","C11","F",53,344.1
"H05613","STATE 07","C7B","M",53,342.42
"H05614","STATE 10","C1B","M",53,341
"H05615","STATE 11","C1 ","M",53,337.96
"H05616","STATE 15","C71","M",53,334.53
"H05617","STATE 15","C1B","F",53,325.36
"H05618","STATE 02","C7C","M",53,323.77
"H05619","STATE 02","C7 ","F",53,319.73
"H05620","STATE 06","C7C","M",53,318.09
"H05621","STATE 15","C71","F",53,312.97
"H05622","STATE 04","C7B","F",53,302.1
"H05623","STATE 15","C71","M",53,300
"H05624","STATE 15","F71","M",53,299.74
"H05625","STATE 06","C7B","M",53,289
"H05626","STATE 04","C7B","M",53,288.43
"H05627","STATE 15","C1 ","M",53,287.03
"H05628","STATE 02","C11","F",53,280.67
"H05629","STATE 15","C7B","M",53,274.3
"H05630","STATE 17","C71","M",53,266.05
"H05631","STATE 02","C11","M",53,259.43
"H05632","STATE 10","C71","F",53,228.05
"H05633","STATE 14","C71","M",,206.7
"H05634","STATE 06","C71","F",53,186.56
"H05635","STATE 17","C7 ","F",53,165
"H05636","STATE 15","C1C","F",53,150
"H05637","STATE 04","F71","M",53,142.2
"H05638","STATE 04","C71","M",53,113.92
"H05639","STATE 04","C7B","M",53,113.33
"H05640","STATE 02","C1B","M",53,97.04
"H05641","STATE 15","C7 ","M",53,84.79
"H05642","STATE 14","C1B","F",53,74.72
"H05643","STATE 02","C1C","F",53,53.8
"H05644","STATE 03","F7 ","M",53,50
"H05645","STATE 15","C1 ","M",53,47.76
"H05646","STATE 02","C71","M",53,41.75
"H05647","STATE 04","C7 ","F",53,32
"H05648","STATE 15","C11","M",53,31.57
"H05649","STATE 04","C7B","M",52,16208.05
"H05650","STATE 04","C7B","M",52,
"H05651","STATE 01","C1 ","M",52,15845
"H05652","STATE 15","C7C","M",52,14908.67
"H05653","STATE 13","C11","M",52,
"H05654","STATE 15","C72","M",52,10154.37
"H05655","STATE 06","C7B","M",52,9668.22
"H05656","STATE 10","C71","M",52,8869.98
"H05657","STATE 15","C11","F",52,7964.72
"H05658","STATE 04","C71","M",52,
"H05659","STATE 17","C71","M",52,7524.01
"H05660","STATE 12","C11","M",52,
"H05661","STATE 02","C7 ","M",52,6832.98
"H05662","STATE 12","C7C","F",52,6210.85
"H05663","STATE 15","C1A","F",52,6055.33
"H05664","STATE 02","C71","M",52,5882
"H05665","STATE 10","C1B","F",52,5811.16
"H05666","STATE 02","C1 ","F",52,
"H05667","STATE 15","C72","M",52,5598.05
